production_process,raw_material,process_stage,material_category,production_quantity,material_quantity,waste_type
Cold Rolling,Alloy Additives,Finishing,Coating Material,103.06,71.76,Pickling Sludge
Cold Rolling,Zinc Coating Material,Melting,Non-Ferrous Metal,59.99,72.84,Pickling Sludge
Continuous Casting,Coke,Casting,Coating Material,74.01,78.6,Mill Scale
Cold Rolling,Alloy Additives,Rolling,Flux Material,93.38,71.84,Steel Scrap
Basic Oxygen Furnace,Zinc Coating Material,Rolling,Flux Material,140.74,172.84,Blast Furnace Slag
Continuous Casting,Zinc Coating Material,Casting,Non-Ferrous Metal,94.62,79.9,Refractory Waste
Forging,Alloy Additives,Melting,Ferrous Metal,116.08,142.54,Steel Scrap
Continuous Casting,Alloy Additives,Melting,Flux Material,94.26,62.11,Steel Scrap
Continuous Casting,Scrap Steel,Casting,Flux Material,97.98,120.42,Refractory Waste
Electric Arc Furnace,Coke,Refining,Non-Ferrous Metal,95.9,68.34,Steel Scrap
Forging,Alloy Additives,Finishing,Non-Ferrous Metal,61.96,67.18,Refractory Waste
Continuous Casting,Iron Ore,Rolling,Ferrous Metal,49.16,37.66,Mill Scale
Forging,Zinc Coating Material,Finishing,Non-Ferrous Metal,110.67,124.23,Steel Scrap
Basic Oxygen Furnace,Limestone,Melting,Fuel/Reductant,124.25,123.98,Blast Furnace Slag
Finishing & Grinding,Coke,Casting,Non-Ferrous Metal,100.61,86.26,Steel Scrap
Forging,Coke,Casting,Ferrous Metal,57.03,49.91,Refractory Waste
Forging,Zinc Coating Material,Coating,Flux Material,59.07,61.54,Refractory Waste
Cold Rolling,Iron Ore,Coating,Flux Material,85.47,80.75,Pickling Sludge
Galvanizing,Zinc Coating Material,Casting,Fuel/Reductant,148.18,163.85,Pickling Sludge
Forging,Alloy Additives,Refining,Flux Material,52.21,66.19,Steel Scrap
Hot Rolling,Coke,Rolling,Ferrous Metal,103.42,88.85,Pickling Sludge
Galvanizing,Zinc Coating Material,Melting,Flux Material,103.04,123.35,Zinc Ash
Galvanizing,Limestone,Finishing,Flux Material,82.43,71.68,Pickling Sludge
Forging,Zinc Coating Material,Finishing,Non-Ferrous Metal,70.03,69.31,Mill Scale
Electric Arc Furnace,Coke,Casting,Non-Ferrous Metal,119.39,129.8,EAF Dust
Galvanizing,Limestone,Rolling,Fuel/Reductant,57.18,73.94,Pickling Sludge
Continuous Casting,Zinc Coating Material,Melting,Flux Material,90.61,87.24,Steel Scrap
Galvanizing,Scrap Steel,Refining,Flux Material,98.43,107.46,Zinc Ash
Electric Arc Furnace,Scrap Steel,Refining,Fuel/Reductant,106.64,85.9,Steel Scrap
Finishing & Grinding,Limestone,Finishing,Coating Material,104.75,129.81,Steel Scrap
Finishing & Grinding,Limestone,Refining,Non-Ferrous Metal,104.7,99.58,Blast Furnace Slag
Forging,Iron Ore,Refining,Coating Material,107.06,123.87,Steel Scrap
Basic Oxygen Furnace,Limestone,Refining,Fuel/Reductant,132.34,110.72,Steel Scrap
Galvanizing,Limestone,Coating,Coating Material,60.28,37.68,Zinc Ash
Finishing & Grinding,Iron Ore,Finishing,Fuel/Reductant,76.82,75.27,Steel Scrap
Cold Rolling,Alloy Additives,Rolling,Non-Ferrous Metal,111.93,70.08,Pickling Sludge
Cold Rolling,Iron Ore,Casting,Flux Material,39.44,33.61,Pickling Sludge
Continuous Casting,Iron Ore,Refining,Fuel/Reductant,87.32,65.58,Steel Scrap
Basic Oxygen Furnace,Limestone,Rolling,Flux Material,52.03,34.33,Steel Scrap
Hot Rolling,Limestone,Rolling,Coating Material,86.64,90.64,Refractory Waste
Finishing & Grinding,Scrap Steel,Casting,Flux Material,63.79,81.85,Mill Scale
Forging,Alloy Additives,Finishing,Coating Material,31.26,24.68,Mill Scale
Finishing & Grinding,Iron Ore,Casting,Fuel/Reductant,91.83,60.14,Steel Scrap
Forging,Zinc Coating Material,Refining,Fuel/Reductant,104.34,75.26,Refractory Waste
Electric Arc Furnace,Limestone,Coating,Coating Material,119.81,92.87,Steel Scrap
Forging,Iron Ore,Rolling,Non-Ferrous Metal,164.91,131.26,Steel Scrap
Hot Rolling,Limestone,Casting,Flux Material,100.3,111.99,Steel Scrap
Forging,Coke,Melting,Fuel/Reductant,185.52,143.48,Steel Scrap
Galvanizing,Iron Ore,Finishing,Ferrous Metal,127.45,144.08,Pickling Sludge
Electric Arc Furnace,Iron Ore,Refining,Ferrous Metal,101.85,68.09,Steel Scrap
Finishing & Grinding,Zinc Coating Material,Melting,Coating Material,115.77,107.83,Pickling Sludge
Cold Rolling,Coke,Refining,Coating Material,76.3,78.67,Mill Scale
Basic Oxygen Furnace,Iron Ore,Casting,Ferrous Metal,47.78,30.18,Steel Scrap
Forging,Limestone,Finishing,Non-Ferrous Metal,147.55,176.99,Steel Scrap
Hot Rolling,Scrap Steel,Finishing,Flux Material,43.35,30.95,Waste Gas Sludge
Basic Oxygen Furnace,Alloy Additives,Melting,Flux Material,92.31,93.24,Steel Scrap
Basic Oxygen Furnace,Alloy Additives,Finishing,Flux Material,65.32,65.5,Blast Furnace Slag
Finishing & Grinding,Scrap Steel,Rolling,Flux Material,155.14,152.34,Mill Scale
Continuous Casting,Limestone,Refining,Coating Material,48.02,41.79,Blast Furnace Slag
Finishing & Grinding,Limestone,Rolling,Coating Material,95.43,78.57,Steel Scrap
Basic Oxygen Furnace,Coke,Rolling,Non-Ferrous Metal,64.65,39.84,Waste Gas Sludge
Forging,Coke,Melting,Fuel/Reductant,65.64,71.4,Refractory Waste
Hot Rolling,Coke,Casting,Flux Material,119.09,144.6,Mill Scale
Cold Rolling,Alloy Additives,Melting,Coating Material,117.45,85.06,Steel Scrap
Forging,Limestone,Coating,Non-Ferrous Metal,109.52,127.57,Mill Scale
Finishing & Grinding,Limestone,Melting,Ferrous Metal,84.26,96.35,Steel Scrap
Hot Rolling,Coke,Finishing,Coating Material,89.26,111.71,Mill Scale
Galvanizing,Limestone,Finishing,Coating Material,77.46,87.39,Zinc Ash
Cold Rolling,Coke,Casting,Non-Ferrous Metal,130.58,160.85,Pickling Sludge
Basic Oxygen Furnace,Zinc Coating Material,Coating,Non-Ferrous Metal,140.66,172.57,Blast Furnace Slag
Cold Rolling,Zinc Coating Material,Coating,Coating Material,85.75,52.1,Mill Scale
Hot Rolling,Coke,Refining,Flux Material,97.11,97.25,EAF Dust
Cold Rolling,Scrap Steel,Melting,Coating Material,80.44,73.52,Pickling Sludge
Finishing & Grinding,Scrap Steel,Melting,Coating Material,53.9,60.73,Steel Scrap
Galvanizing,Iron Ore,Melting,Flux Material,48.6,56.02,Waste Gas Sludge
Basic Oxygen Furnace,Limestone,Rolling,Ferrous Metal,84.56,83.26,Steel Scrap
Continuous Casting,Iron Ore,Coating,Flux Material,56.82,69.4,Mill Scale
Forging,Alloy Additives,Coating,Coating Material,58.8,66.62,Steel Scrap
Finishing & Grinding,Limestone,Casting,Coating Material,74.03,49.66,Pickling Sludge
Electric Arc Furnace,Alloy Additives,Finishing,Ferrous Metal,94.05,110.54,Waste Gas Sludge
Hot Rolling,Coke,Finishing,Ferrous Metal,68.15,44.77,Mill Scale
Basic Oxygen Furnace,Iron Ore,Melting,Fuel/Reductant,43.07,54.4,Blast Furnace Slag
Cold Rolling,Scrap Steel,Refining,Flux Material,44.0,49.6,Mill Scale
Finishing & Grinding,Scrap Steel,Finishing,Non-Ferrous Metal,61.84,61.28,Pickling Sludge
Hot Rolling,Limestone,Melting,Coating Material,77.6,95.79,Mill Scale
Cold Rolling,Iron Ore,Melting,Ferrous Metal,84.32,78.25,Pickling Sludge
Cold Rolling,Limestone,Melting,Fuel/Reductant,53.99,36.88,Mill Scale
Cold Rolling,Alloy Additives,Coating,Fuel/Reductant,97.05,97.86,Pickling Sludge
Forging,Zinc Coating Material,Casting,Coating Material,58.75,50.67,Steel Scrap
Electric Arc Furnace,Zinc Coating Material,Casting,Coating Material,112.1,142.84,EAF Dust
Finishing & Grinding,Alloy Additives,Finishing,Fuel/Reductant,71.46,91.39,Pickling Sludge
Forging,Zinc Coating Material,Rolling,Ferrous Metal,93.26,92.11,Steel Scrap
Galvanizing,Zinc Coating Material,Melting,Non-Ferrous Metal,85.45,82.56,Zinc Ash
Cold Rolling,Zinc Coating Material,Rolling,Coating Material,148.06,153.88,Pickling Sludge
Cold Rolling,Coke,Melting,Fuel/Reductant,124.06,152.69,Steel Scrap
Electric Arc Furnace,Zinc Coating Material,Coating,Fuel/Reductant,189.62,138.74,EAF Dust
Galvanizing,Alloy Additives,Rolling,Fuel/Reductant,59.28,50.23,Pickling Sludge
Continuous Casting,Coke,Rolling,Fuel/Reductant,60.67,78.29,Mill Scale
Hot Rolling,Zinc Coating Material,Refining,Flux Material,90.48,88.24,Steel Scrap
Basic Oxygen Furnace,Iron Ore,Melting,Fuel/Reductant,123.65,88.27,Refractory Waste
Continuous Casting,Limestone,Finishing,Flux Material,66.02,77.62,Steel Scrap
Finishing & Grinding,Limestone,Refining,Fuel/Reductant,46.04,55.54,Mill Scale
Continuous Casting,Scrap Steel,Casting,Fuel/Reductant,168.6,104.27,Mill Scale
Cold Rolling,Scrap Steel,Casting,Flux Material,134.45,94.83,Steel Scrap
Finishing & Grinding,Iron Ore,Rolling,Coating Material,69.32,60.07,Steel Scrap
Forging,Limestone,Casting,Non-Ferrous Metal,80.98,64.09,Refractory Waste
Forging,Iron Ore,Rolling,Ferrous Metal,137.3,165.49,Steel Scrap
Forging,Limestone,Finishing,Non-Ferrous Metal,85.19,107.45,Zinc Ash
Basic Oxygen Furnace,Limestone,Melting,Coating Material,86.69,67.02,EAF Dust
Forging,Zinc Coating Material,Refining,Ferrous Metal,52.29,53.56,Steel Scrap
Galvanizing,Alloy Additives,Finishing,Fuel/Reductant,80.02,85.64,Pickling Sludge
Forging,Coke,Finishing,Fuel/Reductant,41.15,44.03,Blast Furnace Slag
Hot Rolling,Zinc Coating Material,Finishing,Flux Material,139.27,158.85,Pickling Sludge
Forging,Scrap Steel,Finishing,Ferrous Metal,134.45,133.46,Steel Scrap
Electric Arc Furnace,Scrap Steel,Casting,Ferrous Metal,87.43,77.15,EAF Dust
Continuous Casting,Iron Ore,Coating,Fuel/Reductant,110.19,82.54,Steel Scrap
Continuous Casting,Iron Ore,Melting,Coating Material,143.83,87.76,Refractory Waste
Hot Rolling,Limestone,Coating,Non-Ferrous Metal,128.67,116.6,Mill Scale
Finishing & Grinding,Coke,Finishing,Ferrous Metal,36.4,30.71,Pickling Sludge
Cold Rolling,Zinc Coating Material,Coating,Non-Ferrous Metal,150.72,156.06,Pickling Sludge
Cold Rolling,Zinc Coating Material,Rolling,Flux Material,87.67,110.87,Mill Scale
Forging,Limestone,Melting,Non-Ferrous Metal,37.53,48.26,Steel Scrap
Cold Rolling,Zinc Coating Material,Casting,Ferrous Metal,83.03,68.93,Steel Scrap
Cold Rolling,Scrap Steel,Coating,Ferrous Metal,46.41,32.03,Steel Scrap
Cold Rolling,Iron Ore,Coating,Flux Material,111.22,78.56,Pickling Sludge
Cold Rolling,Zinc Coating Material,Finishing,Non-Ferrous Metal,98.77,83.16,Mill Scale
Electric Arc Furnace,Coke,Rolling,Ferrous Metal,55.66,51.86,Steel Scrap
Basic Oxygen Furnace,Coke,Casting,Fuel/Reductant,54.44,34.22,Blast Furnace Slag
Galvanizing,Alloy Additives,Coating,Flux Material,104.3,82.92,Pickling Sludge
Finishing & Grinding,Coke,Finishing,Flux Material,81.24,69.46,Pickling Sludge
Basic Oxygen Furnace,Iron Ore,Refining,Fuel/Reductant,53.13,57.55,Refractory Waste
Galvanizing,Scrap Steel,Rolling,Ferrous Metal,62.38,77.64,Zinc Ash
Galvanizing,Zinc Coating Material,Finishing,Flux Material,92.87,73.72,Pickling Sludge
Galvanizing,Scrap Steel,Finishing,Non-Ferrous Metal,108.87,81.28,Zinc Ash
Galvanizing,Alloy Additives,Refining,Ferrous Metal,115.02,108.02,Pickling Sludge
Cold Rolling,Zinc Coating Material,Rolling,Ferrous Metal,41.56,46.68,Pickling Sludge
Cold Rolling,Limestone,Melting,Ferrous Metal,143.74,111.64,Pickling Sludge
Forging,Limestone,Casting,Coating Material,107.29,104.34,Steel Scrap
Continuous Casting,Limestone,Finishing,Ferrous Metal,96.61,88.22,Refractory Waste
Cold Rolling,Scrap Steel,Finishing,Flux Material,39.57,34.19,Pickling Sludge
Hot Rolling,Coke,Melting,Flux Material,92.47,76.33,Mill Scale
Galvanizing,Scrap Steel,Rolling,Flux Material,63.94,78.22,Zinc Ash
Finishing & Grinding,Scrap Steel,Finishing,Non-Ferrous Metal,51.93,55.84,Mill Scale
Electric Arc Furnace,Scrap Steel,Casting,Non-Ferrous Metal,84.72,82.68,Waste Gas Sludge
Hot Rolling,Scrap Steel,Coating,Non-Ferrous Metal,149.55,167.77,Steel Scrap
Hot Rolling,Coke,Refining,Coating Material,53.08,45.34,Mill Scale
Continuous Casting,Iron Ore,Coating,Flux Material,78.38,78.34,Refractory Waste
Electric Arc Furnace,Iron Ore,Melting,Flux Material,44.2,31.25,Refractory Waste
Galvanizing,Scrap Steel,Refining,Flux Material,106.73,76.04,Zinc Ash
Basic Oxygen Furnace,Zinc Coating Material,Melting,Fuel/Reductant,65.55,80.48,Blast Furnace Slag
Basic Oxygen Furnace,Limestone,Coating,Non-Ferrous Metal,57.73,55.83,Pickling Sludge
Finishing & Grinding,Zinc Coating Material,Melting,Ferrous Metal,95.03,83.48,Pickling Sludge
Forging,Zinc Coating Material,Melting,Fuel/Reductant,83.22,100.35,Mill Scale
Basic Oxygen Furnace,Coke,Coating,Non-Ferrous Metal,66.02,70.51,Blast Furnace Slag
Galvanizing,Limestone,Coating,Coating Material,114.93,113.75,Zinc Ash
Forging,Scrap Steel,Finishing,Ferrous Metal,38.24,27.95,Refractory Waste
Hot Rolling,Limestone,Rolling,Non-Ferrous Metal,105.92,95.1,Mill Scale
Forging,Limestone,Finishing,Ferrous Metal,39.12,40.19,Steel Scrap
Cold Rolling,Coke,Refining,Fuel/Reductant,86.73,87.33,Pickling Sludge
Basic Oxygen Furnace,Limestone,Melting,Flux Material,82.66,52.59,Waste Gas Sludge
Galvanizing,Zinc Coating Material,Melting,Fuel/Reductant,48.68,33.79,Zinc Ash
Forging,Zinc Coating Material,Melting,Flux Material,126.23,135.96,Mill Scale
Hot Rolling,Iron Ore,Finishing,Fuel/Reductant,66.02,67.14,Mill Scale
Galvanizing,Scrap Steel,Casting,Coating Material,23.77,29.73,Zinc Ash
Electric Arc Furnace,Alloy Additives,Finishing,Flux Material,59.6,76.02,EAF Dust
Cold Rolling,Coke,Casting,Ferrous Metal,98.95,71.92,Pickling Sludge
Forging,Scrap Steel,Refining,Ferrous Metal,65.21,72.96,Steel Scrap
Forging,Limestone,Rolling,Flux Material,133.89,154.87,Steel Scrap
Galvanizing,Alloy Additives,Coating,Ferrous Metal,94.41,67.46,Waste Gas Sludge
Electric Arc Furnace,Zinc Coating Material,Melting,Flux Material,99.88,96.5,EAF Dust
Finishing & Grinding,Limestone,Casting,Non-Ferrous Metal,70.84,86.0,Mill Scale
Forging,Scrap Steel,Casting,Coating Material,135.51,117.06,Steel Scrap
Electric Arc Furnace,Iron Ore,Rolling,Coating Material,71.25,57.78,EAF Dust
Hot Rolling,Iron Ore,Casting,Flux Material,85.66,105.34,Refractory Waste
Continuous Casting,Iron Ore,Rolling,Coating Material,160.01,156.89,Refractory Waste
Galvanizing,Scrap Steel,Rolling,Ferrous Metal,93.69,117.85,Zinc Ash
Basic Oxygen Furnace,Coke,Coating,Fuel/Reductant,115.6,96.46,Steel Scrap
Forging,Coke,Melting,Fuel/Reductant,97.67,95.07,Steel Scrap
Finishing & Grinding,Zinc Coating Material,Casting,Ferrous Metal,71.02,81.82,Steel Scrap
Forging,Alloy Additives,Rolling,Coating Material,69.63,78.04,Steel Scrap
Galvanizing,Iron Ore,Casting,Non-Ferrous Metal,58.12,58.06,Zinc Ash
Hot Rolling,Coke,Casting,Non-Ferrous Metal,103.28,121.34,Mill Scale
Hot Rolling,Iron Ore,Coating,Non-Ferrous Metal,97.48,116.25,Steel Scrap
Continuous Casting,Zinc Coating Material,Rolling,Fuel/Reductant,75.72,53.38,Refractory Waste
Finishing & Grinding,Zinc Coating Material,Coating,Coating Material,54.62,60.39,Steel Scrap
Galvanizing,Iron Ore,Rolling,Ferrous Metal,119.99,117.58,Zinc Ash
Cold Rolling,Alloy Additives,Melting,Flux Material,143.18,120.56,Mill Scale
Finishing & Grinding,Scrap Steel,Melting,Flux Material,35.99,45.46,Pickling Sludge
Basic Oxygen Furnace,Alloy Additives,Coating,Coating Material,150.39,151.95,Blast Furnace Slag
Electric Arc Furnace,Limestone,Coating,Non-Ferrous Metal,205.65,248.94,EAF Dust
Continuous Casting,Scrap Steel,Rolling,Ferrous Metal,89.7,89.3,Refractory Waste
Basic Oxygen Furnace,Alloy Additives,Finishing,Non-Ferrous Metal,103.36,73.05,Blast Furnace Slag
Finishing & Grinding,Alloy Additives,Coating,Coating Material,93.25,95.55,Steel Scrap
Cold Rolling,Limestone,Rolling,Flux Material,155.52,194.07,Zinc Ash
Basic Oxygen Furnace,Coke,Melting,Coating Material,68.02,46.2,Steel Scrap
Continuous Casting,Coke,Melting,Coating Material,87.01,76.51,Steel Scrap
Cold Rolling,Zinc Coating Material,Finishing,Fuel/Reductant,130.36,108.8,Pickling Sludge
Basic Oxygen Furnace,Coke,Coating,Fuel/Reductant,53.74,66.85,Steel Scrap
Continuous Casting,Zinc Coating Material,Finishing,Coating Material,38.54,32.48,Mill Scale
Galvanizing,Scrap Steel,Casting,Flux Material,73.57,67.44,Zinc Ash
Finishing & Grinding,Iron Ore,Refining,Non-Ferrous Metal,159.61,115.47,Steel Scrap
Basic Oxygen Furnace,Alloy Additives,Coating,Coating Material,83.08,83.61,Blast Furnace Slag
Continuous Casting,Alloy Additives,Rolling,Non-Ferrous Metal,53.61,37.74,Mill Scale
Continuous Casting,Zinc Coating Material,Rolling,Ferrous Metal,104.82,69.15,Steel Scrap
Hot Rolling,Limestone,Coating,Flux Material,85.02,55.0,Steel Scrap
Hot Rolling,Alloy Additives,Refining,Flux Material,90.78,67.81,Pickling Sludge
Hot Rolling,Coke,Finishing,Coating Material,80.96,50.65,Pickling Sludge
Cold Rolling,Limestone,Coating,Coating Material,90.66,90.24,Pickling Sludge
Hot Rolling,Alloy Additives,Refining,Flux Material,144.85,127.55,Mill Scale
Galvanizing,Alloy Additives,Melting,Coating Material,21.01,14.89,Waste Gas Sludge
Continuous Casting,Coke,Rolling,Coating Material,95.78,82.5,Mill Scale
Hot Rolling,Limestone,Casting,Ferrous Metal,76.22,80.09,Mill Scale
Galvanizing,Iron Ore,Rolling,Ferrous Metal,72.72,80.08,Blast Furnace Slag
Galvanizing,Iron Ore,Refining,Ferrous Metal,82.54,51.09,Zinc Ash
Continuous Casting,Zinc Coating Material,Rolling,Fuel/Reductant,62.25,38.21,Steel Scrap
Electric Arc Furnace,Coke,Refining,Non-Ferrous Metal,61.56,71.41,Steel Scrap
Forging,Scrap Steel,Casting,Non-Ferrous Metal,104.15,69.74,Refractory Waste
Finishing & Grinding,Scrap Steel,Melting,Fuel/Reductant,52.67,58.23,Mill Scale
Continuous Casting,Coke,Rolling,Ferrous Metal,93.66,100.0,Steel Scrap
Forging,Iron Ore,Finishing,Ferrous Metal,94.35,75.97,Steel Scrap
Electric Arc Furnace,Limestone,Rolling,Ferrous Metal,38.23,44.81,Steel Scrap
Cold Rolling,Zinc Coating Material,Melting,Flux Material,164.87,128.86,Steel Scrap
Basic Oxygen Furnace,Alloy Additives,Finishing,Flux Material,141.17,146.38,Blast Furnace Slag
Galvanizing,Zinc Coating Material,Refining,Fuel/Reductant,36.51,36.01,Waste Gas Sludge
Continuous Casting,Iron Ore,Melting,Fuel/Reductant,36.5,41.41,Mill Scale
Hot Rolling,Scrap Steel,Casting,Flux Material,66.99,80.92,Mill Scale
Finishing & Grinding,Coke,Melting,Non-Ferrous Metal,124.64,111.88,Steel Scrap
Electric Arc Furnace,Zinc Coating Material,Casting,Flux Material,83.9,66.12,EAF Dust
Forging,Zinc Coating Material,Rolling,Fuel/Reductant,187.52,130.8,Steel Scrap
Finishing & Grinding,Coke,Coating,Flux Material,111.33,143.51,Pickling Sludge
Basic Oxygen Furnace,Limestone,Coating,Non-Ferrous Metal,46.79,28.68,Steel Scrap
Basic Oxygen Furnace,Coke,Finishing,Flux Material,88.65,60.5,Blast Furnace Slag
Forging,Iron Ore,Finishing,Fuel/Reductant,39.08,41.27,Zinc Ash
Forging,Coke,Finishing,Ferrous Metal,106.27,79.12,Steel Scrap
Galvanizing,Alloy Additives,Finishing,Non-Ferrous Metal,156.99,113.47,Waste Gas Sludge
Finishing & Grinding,Scrap Steel,Refining,Ferrous Metal,154.31,137.82,Steel Scrap
Galvanizing,Limestone,Coating,Ferrous Metal,99.45,71.25,Pickling Sludge
Galvanizing,Coke,Rolling,Ferrous Metal,25.36,16.69,Pickling Sludge
Forging,Coke,Finishing,Flux Material,43.38,34.79,Steel Scrap
Continuous Casting,Limestone,Coating,Fuel/Reductant,107.48,118.59,Blast Furnace Slag
Cold Rolling,Zinc Coating Material,Rolling,Non-Ferrous Metal,107.19,114.11,Steel Scrap
Finishing & Grinding,Iron Ore,Melting,Non-Ferrous Metal,36.5,40.62,Pickling Sludge
Finishing & Grinding,Scrap Steel,Finishing,Flux Material,108.59,102.88,Mill Scale
Cold Rolling,Coke,Refining,Non-Ferrous Metal,41.48,34.59,Steel Scrap
Basic Oxygen Furnace,Iron Ore,Refining,Non-Ferrous Metal,73.03,81.04,Zinc Ash
Finishing & Grinding,Alloy Additives,Refining,Coating Material,93.96,101.65,Pickling Sludge
Forging,Zinc Coating Material,Finishing,Fuel/Reductant,40.62,47.1,Steel Scrap
Basic Oxygen Furnace,Iron Ore,Casting,Ferrous Metal,71.49,56.51,Blast Furnace Slag
Galvanizing,Iron Ore,Coating,Coating Material,36.31,45.1,Zinc Ash
Forging,Alloy Additives,Melting,Ferrous Metal,132.75,167.95,Steel Scrap
Continuous Casting,Coke,Finishing,Non-Ferrous Metal,46.06,55.78,Mill Scale
Cold Rolling,Scrap Steel,Casting,Non-Ferrous Metal,77.17,89.87,Mill Scale
Continuous Casting,Zinc Coating Material,Casting,Coating Material,139.7,108.24,Steel Scrap
Continuous Casting,Alloy Additives,Coating,Non-Ferrous Metal,128.85,97.26,Mill Scale
Galvanizing,Alloy Additives,Melting,Ferrous Metal,117.7,128.08,Zinc Ash
Cold Rolling,Zinc Coating Material,Refining,Coating Material,89.87,112.07,Pickling Sludge
Finishing & Grinding,Zinc Coating Material,Coating,Flux Material,132.03,108.71,Mill Scale
Hot Rolling,Zinc Coating Material,Rolling,Flux Material,82.16,51.42,Mill Scale
Continuous Casting,Limestone,Rolling,Fuel/Reductant,44.05,28.8,Steel Scrap
Continuous Casting,Coke,Finishing,Flux Material,104.17,87.29,Refractory Waste
Forging,Iron Ore,Casting,Coating Material,76.02,74.32,Steel Scrap
